"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","TRY","PC","A","2005",24.639,
"AUS","GRADRATETRY","TRY","PC","A","2010",26.411,
"AUS","GRADRATETRY","TRY","PC","A","2011",28.633,
"AUS","GRADRATETRY","TRY","PC","A","2012",31.399,
"AUS","GRADRATETRY","TRY","PC","A","2013",35.782,
"AUS","GRADRATETRY","TRY","PC","A","2014",36.958,
"AUS","GRADRATETRY","TRY","PC","A","2015",37.295,
"AUS","GRADRATETRY","TRY","PC","A","2016",37.097,
"AUS","GRADRATETRY","TRY","PC","A","2017",36.894,
"AUS","GRADRATETRY","TRY","PC","A","2018",36.97,
"AUT","GRADRATETRY","TRY","PC","A","2005",,"M"
"AUT","GRADRATETRY","TRY","PC","A","2010",37.259,
"AUT","GRADRATETRY","TRY","PC","A","2011",37.371,
"AUT","GRADRATETRY","TRY","PC","A","2012",38.74,
"AUT","GRADRATETRY","TRY","PC","A","2013",39.806,
"AUT","GRADRATETRY","TRY","PC","A","2014",37.402,
"AUT","GRADRATETRY","TRY","PC","A","2015",36.301,
"AUT","GRADRATETRY","TRY","PC","A","2016",33.825,
"AUT","GRADRATETRY","TRY","PC","A","2017",34.779,
"AUT","GRADRATETRY","TRY","PC","A","2018",35.232,
"BEL","GRADRATETRY","TRY","PC","A","2005",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2010",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2011",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2012",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2013",39.023,
"BEL","GRADRATETRY","TRY","PC","A","2014",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2015",38.075,
"BEL","GRADRATETRY","TRY","PC","A","2016",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2017",,"M"
"BEL","GRADRATETRY","TRY","PC","A","2018",32.452,
"CAN","GRADRATETRY","TRY","PC","A","2005",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2010",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2011",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2012",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2013",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2014",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2015",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2016",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2017",,"M"
"CAN","GRADRATETRY","TRY","PC","A","2018",,"M"
"CZE","GRADRATETRY","TRY","PC","A","2005",,"M"
"CZE","GRADRATETRY","TRY","PC","A","2010",,"M"
"CZE","GRADRATETRY","TRY","PC","A","2011",,"M"
"CZE","GRADRATETRY","TRY","PC","A","2012",,"M"
"CZE","GRADRATETRY","TRY","PC","A","2013",34.002,
"CZE","GRADRATETRY","TRY","PC","A","2014",32.569,
"CZE","GRADRATETRY","TRY","PC","A","2015",31.158,
"CZE","GRADRATETRY","TRY","PC","A","2016",30.272,
"CZE","GRADRATETRY","TRY","PC","A","2017",27.699,
"CZE","GRADRATETRY","TRY","PC","A","2018",27.85,
"DNK","GRADRATETRY","TRY","PC","A","2005",39.979,
"DNK","GRADRATETRY","TRY","PC","A","2010",43.165,
"DNK","GRADRATETRY","TRY","PC","A","2011",41.926,
"DNK","GRADRATETRY","TRY","PC","A","2012",41.727,
"DNK","GRADRATETRY","TRY","PC","A","2013",45.498,
"DNK","GRADRATETRY","TRY","PC","A","2014",46.942,
"DNK","GRADRATETRY","TRY","PC","A","2015",47.352,
"DNK","GRADRATETRY","TRY","PC","A","2016",50.056,
"DNK","GRADRATETRY","TRY","PC","A","2017",45.753,
"DNK","GRADRATETRY","TRY","PC","A","2018",45.315,
"FIN","GRADRATETRY","TRY","PC","A","2005",35.058,
"FIN","GRADRATETRY","TRY","PC","A","2010",38.561,
"FIN","GRADRATETRY","TRY","PC","A","2011",36.997,
"FIN","GRADRATETRY","TRY","PC","A","2012",37.096,
"FIN","GRADRATETRY","TRY","PC","A","2013",37.07,
"FIN","GRADRATETRY","TRY","PC","A","2014",36.419,
"FIN","GRADRATETRY","TRY","PC","A","2015",39.022,
"FIN","GRADRATETRY","TRY","PC","A","2016",37.554,
"FIN","GRADRATETRY","TRY","PC","A","2017",37.179,
"FIN","GRADRATETRY","TRY","PC","A","2018",37.4,
"FRA","GRADRATETRY","TRY","PC","A","2005",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2010",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2011",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2012",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2013",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2014",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2015",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2016",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2017",,"M"
"FRA","GRADRATETRY","TRY","PC","A","2018",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2005",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2010",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2011",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2012",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2013",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2014",,"M"
"DEU","GRADRATETRY","TRY","PC","A","2015",31.572,
"DEU","GRADRATETRY","TRY","PC","A","2016",32.501,
"DEU","GRADRATETRY","TRY","PC","A","2017",32.94,
"DEU","GRADRATETRY","TRY","PC","A","2018",32.109,
"GRC","GRADRATETRY","TRY","PC","A","2005",,"M"
"GRC","GRADRATETRY","TRY","PC","A","2010",,"M"
"GRC","GRADRATETRY","TRY","PC","A","2011",,"M"
"GRC","GRADRATETRY","TRY","PC","A","2012",,"M"
"GRC","GRADRATETRY","TRY","PC","A","2013",,"M"
"GRC","GRADRATETRY","TRY","PC","A","2014",,"M"
"GRC","GRADRATETRY","TRY","PC","A","2015",38.007,
"GRC","GRADRATETRY","TRY","PC","A","2016",40.503,
"GRC","GRADRATETRY","TRY","PC","A","2017",39.007,
"GRC","GRADRATETRY","TRY","PC","A","2018",37.289,
"HUN","GRADRATETRY","TRY","PC","A","2005",,"M"
"HUN","GRADRATETRY","TRY","PC","A","2010",,"M"
"HUN","GRADRATETRY","TRY","PC","A","2011",,"M"
"HUN","GRADRATETRY","TRY","PC","A","2012",,"M"
"HUN","GRADRATETRY","TRY","PC","A","2013",,"M"
"HUN","GRADRATETRY","TRY","PC","A","2014",29.178,
"HUN","GRADRATETRY","TRY","PC","A","2015",24.999,
"HUN","GRADRATETRY","TRY","PC","A","2016",24.068,
"HUN","GRADRATETRY","TRY","PC","A","2017",23.105,
"HUN","GRADRATETRY","TRY","PC","A","2018",23.155,
"ISL","GRADRATETRY","TRY","PC","A","2005",,"M"
"ISL","GRADRATETRY","TRY","PC","A","2010",,"M"
"ISL","GRADRATETRY","TRY","PC","A","2011",,"M"
"ISL","GRADRATETRY","TRY","PC","A","2012",,"M"
"ISL","GRADRATETRY","TRY","PC","A","2013",38.025,
"ISL","GRADRATETRY","TRY","PC","A","2016",38.304,
"ISL","GRADRATETRY","TRY","PC","A","2017",36.782,
"ISL","GRADRATETRY","TRY","PC","A","2018",34.418,
"IRL","GRADRATETRY","TRY","PC","A","2005",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2010",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2011",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2012",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2013",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2014",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2015",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2016",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2017",,"M"
"IRL","GRADRATETRY","TRY","PC","A","2018",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2005",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2010",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2011",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2012",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2013",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2014",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2015",,"M"
"ITA","GRADRATETRY","TRY","PC","A","2016",30.936,
"ITA","GRADRATETRY","TRY","PC","A","2017",32.418,
"ITA","GRADRATETRY","TRY","PC","A","2018",33.595,
"JPN","GRADRATETRY","TRY","PC","A","2005",,"M"
"JPN","GRADRATETRY","TRY","PC","A","2010",,"M"
"JPN","GRADRATETRY","TRY","PC","A","2011",,"M"
"JPN","GRADRATETRY","TRY","PC","A","2012",,"M"
"JPN","GRADRATETRY","TRY","PC","A","2013",,"M"
"JPN","GRADRATETRY","TRY","PC","A","2017",,"M"
"JPN","GRADRATETRY","TRY","PC","A","2018",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2005",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2010",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2011",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2012",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2013",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2014",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2015",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2016",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2017",,"M"
"KOR","GRADRATETRY","TRY","PC","A","2018",,"M"
"LUX","GRADRATETRY","TRY","PC","A","2005",,"M"
"LUX","GRADRATETRY","TRY","PC","A","2010",,"M"
"LUX","GRADRATETRY","TRY","PC","A","2011",,"M"
"LUX","GRADRATETRY","TRY","PC","A","2012",,"M"
"LUX","GRADRATETRY","TRY","PC","A","2013",9.079,
"LUX","GRADRATETRY","TRY","PC","A","2014",11.777,
"LUX","GRADRATETRY","TRY","PC","A","2015",9.595,
"LUX","GRADRATETRY","TRY","PC","A","2016",8.536,
